Datetime,CH2,CH3,T1,T2,T3,T4,T5,T6,T7,T8,T9
03-Aug-2023 13:15:27,0.0275,0.0271,20.2835273742676,19.684383392334,21.9760246276855,19.5729026794434,19.1084022521973,19.1901550292969,22.0864028930664,19.7624206542969,19.773567199707
03-Aug-2023 13:15:32,0.0261,0.0268,20.2836685180664,19.691930770874,21.8804779052734,19.5767364501953,19.0676422119141,19.1977043151855,22.1012363433838,19.777400970459,19.7996940612793
03-Aug-2023 13:15:37,0.025,0.0263,20.2840785980225,19.6960697174072,21.8698577880859,19.5808715820313,19.0420532226563,19.194408416748,22.0979747772217,19.7741050720215,19.7741050720215
03-Aug-2023 13:15:42,0.0255,0.0256,20.284351348877,19.6777610778809,21.9547500610352,19.5625648498535,18.997730255127,19.1872482299805,22.1203174591064,19.7706604003906,19.7149200439453
03-Aug-2023 13:15:47,0.0253,0.0255,20.2844905853271,19.6853256225586,21.9953556060791,19.5664138793945,19.0387420654297,19.1873817443848,22.1167736053467,19.7745113372803,19.696475982666
03-Aug-2023 13:15:52,0.0228,0.022,20.2847652435303,19.7004776000977,22.032434463501,19.5815658569336,19.0873374938965,19.2136840820313,22.1575298309326,19.7970962524414,19.8602676391602
03-Aug-2023 13:15:57,0.00892,0.0088,20.2850399017334,19.7081832885742,22.0327014923096,19.604133605957,19.176794052124,19.2213859558105,22.1577968597412,19.7936496734619,19.9460067749023
03-Aug-2023 13:16:02,0.00391,0.00382,20.2853145599365,19.6973037719727,22.0550441741943,19.6044025421143,19.2365188598633,19.2216567993164,22.1911792755127,19.7976360321045,19.9091148376465
03-Aug-2023 13:16:07,0.00202,0.00193,20.2857246398926,19.7014617919922,22.0076503753662,19.6085624694824,19.2778396606445,19.2109489440918,22.1658611297607,19.7869300842285,19.794361114502
03-Aug-2023 13:16:12,0.00132,0.00126,20.2859992980957,19.7128791809082,22.0115966796875,19.6125469207764,19.266960144043,19.2186508178711,22.1918830871582,19.7983474731445,19.7649040222168
03-Aug-2023 13:16:17,0.000953,0.000898,20.2862758636475,19.705717086792,22.0229034423828,19.6091003417969,19.2040576934814,19.2114906311035,22.1884727478027,19.7949028015137,19.7391624450684
03-Aug-2023 13:16:22,0.000746,0.000694,20.286548614502,19.7060070037842,22.056303024292,19.6093921661377,19.1634712219238,19.2080631256104,22.1887588500977,19.7840423583984,19.6948585510254
03-Aug-2023 13:16:27,0.00061,0.000559,20.2868232727051,19.7025775909424,22.0676250457764,19.6059627532959,19.2492256164551,19.2083492279053,22.1963996887207,19.7917633056641,19.639404296875
03-Aug-2023 13:16:32,0.000511,0.000471,20.2870998382568,19.7177143096924,22.0494995117188,19.6210975646973,19.2940902709961,19.2160549163818,22.204029083252,19.799467086792,19.6248149871826
03-Aug-2023 13:16:37,0.000443,0.000408,20.2875099182129,19.7069683074951,22.0204620361328,19.6177845001221,19.3205051422119,19.2015933990479,22.219144821167,19.7961540222168,19.6623764038086
03-Aug-2023 13:16:42,0.000392,0.000359,20.287784576416,19.7183876037598,22.0538444519043,19.62548828125,19.2910461425781,19.2130126953125,22.1973361968994,19.8112869262695,19.7704124450684
03-Aug-2023 13:16:47,0.000357,0.000324,20.2881965637207,19.7188301086426,22.0542831420898,19.6296463012695,19.2394676208496,19.2246017456055,22.1756992340088,19.8117294311523,19.7782878875732
03-Aug-2023 13:16:52,0.000318,0.000286,20.2883338928223,19.7189464569092,22.0360012054443,19.6186141967773,19.2655944824219,19.21728515625,22.2273254394531,19.8044147491455,19.7226638793945
03-Aug-2023 13:16:57,0.000288,0.00026,20.288745880127,19.7156524658203,22.0401000976563,19.6227531433105,19.3403377532959,19.2139930725098,22.2019882202148,19.7974052429199,19.6859264373779
03-Aug-2023 13:17:02,0.000265,0.00024,20.2890205383301,19.7159423828125,22.0440635681152,19.6341896057129,19.3963661193848,19.2179985046387,22.2022743225098,19.8088417053223,19.6750659942627
03-Aug-2023 13:17:07,0.000245,0.000223,20.2892932891846,19.7124977111816,22.0848064422607,19.6121654510498,19.3111686706543,19.2034034729004,22.2209396362305,19.8053970336914,19.6902008056641
03-Aug-2023 13:17:12,0.000229,0.000208,20.2897052764893,19.7129020690918,22.0888862609863,19.6311492919922,19.2595481872559,19.2186737060547,22.2434158325195,19.8132343292236,19.6683101654053
03-Aug-2023 13:17:17,0.000215,0.000194,20.2901172637939,19.7096099853516,22.1113796234131,19.6167068481445,19.1782188415527,19.2153797149658,22.2254371643066,19.806224822998,19.687313079834
03-Aug-2023 13:17:22,0.000203,0.000183,20.2903938293457,19.7136116027832,22.1300621032715,19.6207122802734,19.1079063415527,19.2156677246094,22.2183647155762,19.8065147399902,19.6950340270996
03-Aug-2023 13:17:27,0.000192,0.000172,20.2906665802002,19.7175998687744,22.1487274169922,19.6209831237793,19.0933113098145,19.2159404754639,22.2259902954102,19.821647644043,19.7361793518066
03-Aug-2023 13:17:32,0.000182,0.000163,20.290943145752,19.7252998352051,22.1894645690918,19.6138210296631,19.1418876647949,19.2236404418945,22.2556915283203,19.8219184875488,19.8590774536133
03-Aug-2023 13:17:37,0.000172,0.000154,20.2913551330566,19.7219886779785,22.1714687347412,19.625373840332,19.1497249603271,19.2277603149414,22.270809173584,19.8148880004883,19.7851600646973
03-Aug-2023 13:17:42,0.000166,0.000149,20.2917671203613,19.7261486053467,22.1719074249268,19.6332473754883,19.0832786560059,19.2393531799316,22.3006839752197,19.8264808654785,19.7335815429688
